experiment,genotype,freq,gain
8,WT,8500,19.7799272775257
8,WT,9000,24.5299749815815
8,WT,9500,20.285527006621
8,WT,10000,22.2124425122139
8,WT,10500,NaN
8,WT,11000,NaN
8,WT,11500,NaN
8,WT,12000,NaN
8,WT,12500,NaN
8,WT,13000,NaN
8,WT,13500,NaN
8,WT,14000,NaN
8,WT,14500,NaN
8,WT,15000,NaN
9,WT,500,NaN
9,WT,1000,NaN
9,WT,1500,NaN
9,WT,2000,NaN
9,WT,2500,NaN
9,WT,3000,NaN
9,WT,3500,NaN
9,WT,4000,NaN
9,WT,4500,NaN
9,WT,5000,NaN
9,WT,5500,-16.2801278928231
9,WT,6000,-8.3637100032518
9,WT,6500,-3.81261075458191
9,WT,7000,-1.07615841626518
9,WT,7500,3.86036632602869
9,WT,8000,8.78530968728498
9,WT,8500,15.2939769634586
9,WT,9000,18.7621982429469
9,WT,9500,30.7600089247136
9,WT,10000,17.6351368337593
9,WT,10500,NaN
9,WT,11000,NaN
9,WT,11500,NaN
9,WT,12000,NaN
9,WT,12500,NaN
9,WT,13000,NaN
9,WT,13500,NaN
9,WT,14000,NaN
9,WT,14500,NaN
9,WT,15000,NaN
10,Alpha9KO,500,NaN
10,Alpha9KO,1000,NaN
10,Alpha9KO,1500,NaN
10,Alpha9KO,2000,NaN
10,Alpha9KO,2500,-15.871441682813
10,Alpha9KO,3000,-21.4262870574201
10,Alpha9KO,3500,-25.0706446032279
10,Alpha9KO,4000,-20.3926176515061
10,Alpha9KO,4500,-19.8972737645211
10,Alpha9KO,5000,-18.516045973542
10,Alpha9KO,5500,-17.0470300686009
10,Alpha9KO,6000,-13.2871629831487
10,Alpha9KO,6500,-9.37941074586697
10,Alpha9KO,7000,-3.9733489518803
10,Alpha9KO,7500,0.478380311609904
10,Alpha9KO,8000,7.09821048305559
10,Alpha9KO,8500,10.0946128966143
10,Alpha9KO,9000,13.2348004593201
10,Alpha9KO,9500,16.1139945345075
10,Alpha9KO,10000,20.4226429927516
10,Alpha9KO,10500,NaN
10,Alpha9KO,11000,NaN
10,Alpha9KO,11500,NaN
10,Alpha9KO,12000,NaN
10,Alpha9KO,12500,NaN
10,Alpha9KO,13000,NaN
10,Alpha9KO,13500,NaN
10,Alpha9KO,14000,NaN
10,Alpha9KO,14500,NaN
10,Alpha9KO,15000,NaN
11,Alpha9KO,500,NaN
11,Alpha9KO,1000,NaN
11,Alpha9KO,1500,NaN
11,Alpha9KO,2000,NaN
11,Alpha9KO,2500,NaN
11,Alpha9KO,3000,NaN
11,Alpha9KO,3500,NaN
11,Alpha9KO,4000,-16.7197901600509
11,Alpha9KO,4500,-19.848324503567
11,Alpha9KO,5000,-15.5573084798043
11,Alpha9KO,5500,-14.9748303680368
11,Alpha9KO,6000,-9.78420945900692
11,Alpha9KO,6500,-6.68812346335269
11,Alpha9KO,7000,-2.06096372194882
11,Alpha9KO,7500,3.51393280150103
11,Alpha9KO,8000,10.6060091994167
11,Alpha9KO,8500,12.672201916438
11,Alpha9KO,9000,15.7401811524587
11,Alpha9KO,9500,20.2448598605051
11,Alpha9KO,10000,21.6209882852825
11,Alpha9KO,10500,15.261446541326
11,Alpha9KO,11000,24.4611634589035
11,Alpha9KO,11500,32.9569014819493
11,Alpha9KO,12000,NaN
11,Alpha9KO,12500,NaN
11,Alpha9KO,13000,NaN
11,Alpha9KO,13500,NaN
11,Alpha9KO,14000,NaN
11,Alpha9KO,14500,NaN
11,Alpha9KO,15000,NaN
12,Alpha9KO,500,NaN
12,Alpha9KO,1000,NaN
12,Alpha9KO,1500,NaN
12,Alpha9KO,2000,NaN
12,Alpha9KO,2500,NaN
12,Alpha9KO,3000,NaN
12,Alpha9KO,3500,NaN
12,Alpha9KO,4000,NaN
12,Alpha9KO,4500,NaN
12,Alpha9KO,5000,NaN
12,Alpha9KO,5500,NaN
12,Alpha9KO,6000,-11.0381293168712
12,Alpha9KO,6500,-9.99811466371425
12,Alpha9KO,7000,-8.79991576042264
12,Alpha9KO,7500,-7.25470672005743
12,Alpha9KO,8000,2.48068876138114
12,Alpha9KO,8500,4.60934450976892
12,Alpha9KO,9000,6.76846112364374
12,Alpha9KO,9500,12.7408417039151
12,Alpha9KO,10000,13.0975162446513
12,Alpha9KO,10500,19.1455176798085
12,Alpha9KO,11000,NaN
12,Alpha9KO,11500,NaN
12,Alpha9KO,12000,NaN
12,Alpha9KO,12500,NaN
12,Alpha9KO,13000,NaN
12,Alpha9KO,13500,27.6023667370472
12,Alpha9KO,14000,NaN
12,Alpha9KO,14500,NaN
12,Alpha9KO,15000,NaN
13,Alpha9KO,500,NaN
13,Alpha9KO,1000,NaN
13,Alpha9KO,1500,NaN
13,Alpha9KO,2000,NaN
13,Alpha9KO,2500,NaN
13,Alpha9KO,3000,NaN
13,Alpha9KO,3500,NaN
13,Alpha9KO,4000,NaN
13,Alpha9KO,4500,NaN
13,Alpha9KO,5000,NaN
13,Alpha9KO,5500,-14.6125221033865
13,Alpha9KO,6000,NaN
13,Alpha9KO,6500,-14.4227303900263
13,Alpha9KO,7000,-9.85617220501661
13,Alpha9KO,7500,-4.23321367418826
13,Alpha9KO,8000,2.73313702050829
13,Alpha9KO,8500,10.034915740364
13,Alpha9KO,9000,15.6092508140439
13,Alpha9KO,9500,20.7337324763896
13,Alpha9KO,10000,24.0664030875548
13,Alpha9KO,10500,24.482707570361
13,Alpha9KO,11000,25.3992032926237
13,Alpha9KO,11500,29.5070497877215
13,Alpha9KO,12000,32.6505779915374
13,Alpha9KO,12500,NaN
13,Alpha9KO,13000,NaN
13,Alpha9KO,13500,NaN
13,Alpha9KO,14000,NaN
13,Alpha9KO,14500,NaN
13,Alpha9KO,15000,NaN
14,Alpha9KO,500,NaN
14,Alpha9KO,1000,NaN
14,Alpha9KO,1500,NaN
14,Alpha9KO,2000,NaN
14,Alpha9KO,2500,NaN
14,Alpha9KO,3000,NaN
14,Alpha9KO,3500,NaN
14,Alpha9KO,4000,NaN
14,Alpha9KO,4500,NaN
14,Alpha9KO,5000,-18.8634554902923
14,Alpha9KO,5500,-16.3430089979903
14,Alpha9KO,6000,-13.4323067323231
14,Alpha9KO,6500,-8.75460824270431
14,Alpha9KO,7000,-5.72383019518649
14,Alpha9KO,7500,-3.61209310725585
14,Alpha9KO,8000,2.51523089228241
14,Alpha9KO,8500,8.13564199739051
14,Alpha9KO,9000,11.9615615639717
14,Alpha9KO,9500,18.0773594393535
14,Alpha9KO,10000,22.0523072335298
14,Alpha9KO,10500,23.2357964821697
14,Alpha9KO,11000,17.9048637295678
14,Alpha9KO,11500,NaN
14,Alpha9KO,12000,NaN
14,Alpha9KO,12500,NaN
14,Alpha9KO,13000,NaN
14,Alpha9KO,13500,NaN
14,Alpha9KO,14000,NaN
14,Alpha9KO,14500,NaN
14,Alpha9KO,15000,NaN
15,Alpha9KO,500,NaN
15,Alpha9KO,1000,NaN
15,Alpha9KO,1500,NaN
15,Alpha9KO,2000,NaN
15,Alpha9KO,2500,NaN
15,Alpha9KO,3000,NaN
15,Alpha9KO,3500,NaN
15,Alpha9KO,4000,NaN
15,Alpha9KO,4500,-13.3166051278415
15,Alpha9KO,5000,NaN
15,Alpha9KO,5500,-17.8175458166817
15,Alpha9KO,6000,-16.2572844967737
15,Alpha9KO,6500,-14.1564380636534
15,Alpha9KO,7000,-13.6709336721832
15,Alpha9KO,7500,-8.13418754823032
15,Alpha9KO,8000,-5.9027739370678
15,Alpha9KO,8500,2.25174436386204
15,Alpha9KO,9000,7.17136941335494
15,Alpha9KO,9500,13.3500778973359
15,Alpha9KO,10000,23.8715319118724
15,Alpha9KO,10500,20.5494457097083
15,Alpha9KO,11000,NaN
15,Alpha9KO,11500,NaN
15,Alpha9KO,12000,NaN
15,Alpha9KO,12500,NaN
15,Alpha9KO,13000,NaN
15,Alpha9KO,13500,NaN
15,Alpha9KO,14000,NaN
15,Alpha9KO,14500,NaN
15,Alpha9KO,15000,NaN
16,Alpha9KO,500,NaN
16,Alpha9KO,1000,NaN
16,Alpha9KO,1500,NaN
16,Alpha9KO,2000,NaN
16,Alpha9KO,2500,NaN
16,Alpha9KO,3000,NaN
16,Alpha9KO,3500,NaN
16,Alpha9KO,4000,-20.3952783765596
16,Alpha9KO,4500,NaN
16,Alpha9KO,5000,NaN
16,Alpha9KO,5500,-19.1257804563789
16,Alpha9KO,6000,-18.5912403646729
16,Alpha9KO,6500,-15.5596941101324
16,Alpha9KO,7000,-15.0082474360027
16,Alpha9KO,7500,-10.5307086879887
16,Alpha9KO,8000,-6.25562530505412
16,Alpha9KO,8500,1.27781902843693
16,Alpha9KO,9000,6.44501335722697
16,Alpha9KO,9500,13.7385495850877
16,Alpha9KO,10000,21.7103744103406
16,Alpha9KO,10500,31.4928054044865
16,Alpha9KO,11000,22.8616902646876
16,Alpha9KO,11500,20.8846280735081
16,Alpha9KO,12000,23.8968678548902
16,Alpha9KO,12500,NaN
16,Alpha9KO,13000,NaN
16,Alpha9KO,13500,NaN
16,Alpha9KO,14000,NaN
16,Alpha9KO,14500,NaN
16,Alpha9KO,15000,NaN
17,Alpha9KO,500,NaN
17,Alpha9KO,1000,NaN
17,Alpha9KO,1500,NaN
17,Alpha9KO,2000,NaN
17,Alpha9KO,2500,NaN
17,Alpha9KO,3000,NaN
17,Alpha9KO,3500,NaN
17,Alpha9KO,4000,-11.9026308407046
17,Alpha9KO,4500,-17.6535989776582
17,Alpha9KO,5000,-12.9469986204028
17,Alpha9KO,5500,-8.30043262826231
17,Alpha9KO,6000,-5.66549802324244
17,Alpha9KO,6500,-5.00777369269625
17,Alpha9KO,7000,6.13724043529487
17,Alpha9KO,7500,14.1876505927987
17,Alpha9KO,8000,18.3209184417788
17,Alpha9KO,8500,19.8831398235578
17,Alpha9KO,9000,25.0735539735062
17,Alpha9KO,9500,28.4450422110874
17,Alpha9KO,10000,26.142072039748
17,Alpha9KO,10500,NaN
17,Alpha9KO,11000,NaN
17,Alpha9KO,11500,NaN
17,Alpha9KO,12000,NaN
17,Alpha9KO,12500,NaN
17,Alpha9KO,13000,NaN
17,Alpha9KO,13500,NaN
17,Alpha9KO,14000,NaN
17,Alpha9KO,14500,NaN
17,Alpha9KO,15000,NaN
18,Alpha9KO,500,NaN
18,Alpha9KO,1000,NaN
18,Alpha9KO,1500,NaN
18,Alpha9KO,2000,NaN
18,Alpha9KO,2500,NaN
18,Alpha9KO,3000,NaN
18,Alpha9KO,3500,NaN
18,Alpha9KO,4000,-20.5397377157291
18,Alpha9KO,4500,-18.7966690986846
18,Alpha9KO,5000,-14.5541991301999
18,Alpha9KO,5500,-14.416098050199
18,Alpha9KO,6000,-10.7901550020573
18,Alpha9KO,6500,-10.4644859786624
18,Alpha9KO,7000,-5.30378899650122
18,Alpha9KO,7500,0.706564174027015
18,Alpha9KO,8000,8.63230291484751
18,Alpha9KO,8500,15.7189419185674
18,Alpha9KO,9000,19.6411192989823
18,Alpha9KO,9500,26.3103385731272
18,Alpha9KO,10000,27.6976302489929
18,Alpha9KO,10500,24.8731979329633
18,Alpha9KO,11000,30.0371984764213
18,Alpha9KO,11500,33.678122190641
18,Alpha9KO,12000,NaN
18,Alpha9KO,12500,NaN
18,Alpha9KO,13000,NaN
18,Alpha9KO,13500,NaN
18,Alpha9KO,14000,NaN
18,Alpha9KO,14500,NaN
18,Alpha9KO,15000,NaN
19,VGLUT3KO,500,NaN
19,VGLUT3KO,1000,NaN
19,VGLUT3KO,1500,NaN
19,VGLUT3KO,2000,NaN
19,VGLUT3KO,2500,NaN
19,VGLUT3KO,3000,NaN
19,VGLUT3KO,3500,-19.6985712899525
19,VGLUT3KO,4000,-21.6389171105387
19,VGLUT3KO,4500,-19.9299269784975
19,VGLUT3KO,5000,-15.8458572792789
19,VGLUT3KO,5500,-15.8385016286591
19,VGLUT3KO,6000,-12.0291914010989
19,VGLUT3KO,6500,-8.31431387358277
19,VGLUT3KO,7000,0.0440114469274206
19,VGLUT3KO,7500,10.482663515951
19,VGLUT3KO,8000,18.3697156266811
19,VGLUT3KO,8500,21.812827403231
19,VGLUT3KO,9000,24.7255009575887
19,VGLUT3KO,9500,30.9857921293047
19,VGLUT3KO,10000,32.0432501208098
19,VGLUT3KO,10500,37.1465993209769
19,VGLUT3KO,11000,29.5846699243276
19,VGLUT3KO,11500,30.1383826877077
19,VGLUT3KO,12000,22.6304178657253
19,VGLUT3KO,12500,NaN
19,VGLUT3KO,13000,NaN
19,VGLUT3KO,13500,NaN
19,VGLUT3KO,14000,NaN
19,VGLUT3KO,14500,NaN
19,VGLUT3KO,15000,NaN
20,VGLUT3KO,500,NaN
20,VGLUT3KO,1000,NaN
20,VGLUT3KO,1500,NaN
20,VGLUT3KO,2000,NaN
20,VGLUT3KO,2500,NaN
20,VGLUT3KO,3000,-12.1121677270519
20,VGLUT3KO,3500,NaN
20,VGLUT3KO,4000,-17.3246924811325
20,VGLUT3KO,4500,-17.8560651349693
20,VGLUT3KO,5000,-13.9374216521394
20,VGLUT3KO,5500,-18.5041247135532
20,VGLUT3KO,6000,-11.015050439456
20,VGLUT3KO,6500,-12.0624321068624
20,VGLUT3KO,7000,-9.37500117759556
20,VGLUT3KO,7500,-1.0156635275662
20,VGLUT3KO,8000,7.6648593680913
20,VGLUT3KO,8500,14.7140321907804
20,VGLUT3KO,9000,20.1193908290403
20,VGLUT3KO,9500,24.2169238265424
20,VGLUT3KO,10000,26.9680305126269
20,VGLUT3KO,10500,25.4528884325237
20,VGLUT3KO,11000,28.0297869021124
20,VGLUT3KO,11500,23.7855232997913
20,VGLUT3KO,12000,23.342428847835
20,VGLUT3KO,12500,NaN
20,VGLUT3KO,13000,NaN
20,VGLUT3KO,13500,NaN
20,VGLUT3KO,14000,NaN
20,VGLUT3KO,14500,NaN
20,VGLUT3KO,15000,NaN
21,VGLUT3KO,500,NaN
21,VGLUT3KO,1000,NaN
21,VGLUT3KO,1500,NaN
21,VGLUT3KO,2000,NaN
21,VGLUT3KO,2500,NaN
21,VGLUT3KO,3000,-20.1908526050187
21,VGLUT3KO,3500,-19.2580836541988
21,VGLUT3KO,4000,-17.7106900706785
21,VGLUT3KO,4500,-17.5317687175912
21,VGLUT3KO,5000,-15.0511583994627
21,VGLUT3KO,5500,-12.6763491954439
21,VGLUT3KO,6000,-7.7056997500774
21,VGLUT3KO,6500,-1.54775223007051
21,VGLUT3KO,7000,3.42406743492546
21,VGLUT3KO,7500,14.0331279661982
21,VGLUT3KO,8000,22.7383343924767
21,VGLUT3KO,8500,27.1911993406661
21,VGLUT3KO,9000,31.2090959790633
21,VGLUT3KO,9500,31.8916781980514
21,VGLUT3KO,10000,32.7963491587999
21,VGLUT3KO,10500,34.5230574829244
21,VGLUT3KO,11000,33.3381398873263
21,VGLUT3KO,11500,29.8282101696154
21,VGLUT3KO,12000,32.4164608717537
21,VGLUT3KO,12500,33.5332824712906
21,VGLUT3KO,13000,NaN
21,VGLUT3KO,13500,NaN
21,VGLUT3KO,14000,NaN
21,VGLUT3KO,14500,NaN
21,VGLUT3KO,15000,NaN
22,VGLUT3KO,500,NaN
22,VGLUT3KO,1000,NaN
22,VGLUT3KO,1500,NaN
22,VGLUT3KO,2000,NaN
22,VGLUT3KO,2500,NaN
22,VGLUT3KO,3000,NaN
22,VGLUT3KO,3500,NaN
22,VGLUT3KO,4000,NaN
22,VGLUT3KO,4500,-19.9554969843055
22,VGLUT3KO,5000,-15.8898725087193
22,VGLUT3KO,5500,-16.1997214038192
22,VGLUT3KO,6000,-7.73865600402713
22,VGLUT3KO,6500,-3.21003641636219
22,VGLUT3KO,7000,3.43320004732908
22,VGLUT3KO,7500,18.6339266445677
22,VGLUT3KO,8000,24.7209998165906
22,VGLUT3KO,8500,28.5878137633658
22,VGLUT3KO,9000,32.8593031763325
22,VGLUT3KO,9500,32.0585879668395
22,VGLUT3KO,10000,35.9108933954653
22,VGLUT3KO,10500,28.2876366729545
22,VGLUT3KO,11000,27.1762150435555
22,VGLUT3KO,11500,NaN
22,VGLUT3KO,12000,NaN
22,VGLUT3KO,12500,NaN
22,VGLUT3KO,13000,NaN
22,VGLUT3KO,13500,NaN
22,VGLUT3KO,14000,NaN
22,VGLUT3KO,14500,NaN
22,VGLUT3KO,15000,NaN
23,VGLUT3KO,500,NaN
23,VGLUT3KO,1000,NaN
23,VGLUT3KO,1500,NaN
23,VGLUT3KO,2000,NaN
23,VGLUT3KO,2500,NaN
23,VGLUT3KO,3000,-2.9734482178641
23,VGLUT3KO,3500,NaN
23,VGLUT3KO,4000,NaN
23,VGLUT3KO,4500,NaN
23,VGLUT3KO,5000,NaN
23,VGLUT3KO,5500,-18.1008668082373
23,VGLUT3KO,6000,-14.2293742622608
23,VGLUT3KO,6500,-11.4129513371011
23,VGLUT3KO,7000,-8.03294678539812
23,VGLUT3KO,7500,-5.69097890952051
23,VGLUT3KO,8000,-0.789074826146845
23,VGLUT3KO,8500,7.90245906364543
23,VGLUT3KO,9000,12.8296789060073
23,VGLUT3KO,9500,18.7242673299822
23,VGLUT3KO,10000,23.1331924081052
23,VGLUT3KO,10500,27.8593744312722
23,VGLUT3KO,11000,27.0616345894987
23,VGLUT3KO,11500,32.2666382799818
23,VGLUT3KO,12000,28.497680300335
23,VGLUT3KO,12500,34.5417550789787
23,VGLUT3KO,13000,NaN
23,VGLUT3KO,13500,NaN
23,VGLUT3KO,14000,NaN
23,VGLUT3KO,14500,NaN
23,VGLUT3KO,15000,NaN
24,VGLUT3KO,500,NaN
24,VGLUT3KO,1000,NaN
24,VGLUT3KO,1500,NaN
24,VGLUT3KO,2000,NaN
24,VGLUT3KO,2500,NaN
24,VGLUT3KO,3000,NaN
24,VGLUT3KO,3500,-9.73656497725237
24,VGLUT3KO,4000,NaN
24,VGLUT3KO,4500,NaN
24,VGLUT3KO,5000,-15.3640065990098
24,VGLUT3KO,5500,-12.2944694021716
24,VGLUT3KO,6000,-14.0023291845411
24,VGLUT3KO,6500,-8.24746597900359
24,VGLUT3KO,7000,-4.91926069535075
24,VGLUT3KO,7500,7.0165132465118
24,VGLUT3KO,8000,15.1927719306213
24,VGLUT3KO,8500,20.5271866821791
24,VGLUT3KO,9000,22.6816805617515
24,VGLUT3KO,9500,27.1787519953316
24,VGLUT3KO,10000,28.35876101637
24,VGLUT3KO,10500,33.0162135703381
24,VGLUT3KO,11000,29.8297048043613
24,VGLUT3KO,11500,34.9107893868445
24,VGLUT3KO,12000,30.4239379974819
24,VGLUT3KO,12500,NaN
24,VGLUT3KO,13000,NaN
24,VGLUT3KO,13500,NaN
24,VGLUT3KO,14000,NaN
24,VGLUT3KO,14500,NaN
24,VGLUT3KO,15000,NaN
25,VGLUT3KO,500,NaN
25,VGLUT3KO,1000,NaN
25,VGLUT3KO,1500,NaN
25,VGLUT3KO,2000,NaN
25,VGLUT3KO,2500,NaN
25,VGLUT3KO,3000,NaN
25,VGLUT3KO,3500,NaN
25,VGLUT3KO,4000,-17.321470477886
25,VGLUT3KO,4500,-16.2994989290694
25,VGLUT3KO,5000,-16.817367369833
25,VGLUT3KO,5500,-13.0445175523727
25,VGLUT3KO,6000,-11.9170272030309
25,VGLUT3KO,6500,-9.24491754092343
25,VGLUT3KO,7000,0.295598150146752
25,VGLUT3KO,7500,9.33657526783205
25,VGLUT3KO,8000,15.8521558805467
25,VGLUT3KO,8500,19.437867666889
25,VGLUT3KO,9000,27.5057509226174
25,VGLUT3KO,9500,30.7591697310964
25,VGLUT3KO,10000,29.9605862548099
25,VGLUT3KO,10500,28.2910069139754
25,VGLUT3KO,11000,23.9930200235284
25,VGLUT3KO,11500,28.6386785788674
25,VGLUT3KO,12000,NaN
25,VGLUT3KO,12500,NaN
25,VGLUT3KO,13000,NaN
25,VGLUT3KO,13500,NaN
25,VGLUT3KO,14000,NaN
25,VGLUT3KO,14500,NaN
25,VGLUT3KO,15000,NaN
26,VGLUT3KO,500,NaN
26,VGLUT3KO,1000,NaN
26,VGLUT3KO,1500,NaN
26,VGLUT3KO,2000,NaN
26,VGLUT3KO,2500,NaN
26,VGLUT3KO,3000,NaN
26,VGLUT3KO,3500,NaN
26,VGLUT3KO,4000,-15.7002184703255
26,VGLUT3KO,4500,-16.2286133354335
26,VGLUT3KO,5000,-15.4843498093689
26,VGLUT3KO,5500,-11.1038022723844
26,VGLUT3KO,6000,-5.09359146297527
26,VGLUT3KO,6500,-2.78983806780326
26,VGLUT3KO,7000,3.10736725391423
26,VGLUT3KO,7500,7.985957872175
26,VGLUT3KO,8000,16.1906983333826
26,VGLUT3KO,8500,20.274148741301
26,VGLUT3KO,9000,23.1985106109641
26,VGLUT3KO,9500,25.9372216297864
26,VGLUT3KO,10000,21.4945530660441
26,VGLUT3KO,10500,NaN
26,VGLUT3KO,11000,NaN
26,VGLUT3KO,11500,NaN
26,VGLUT3KO,12000,NaN
26,VGLUT3KO,12500,NaN
26,VGLUT3KO,13000,NaN
26,VGLUT3KO,13500,NaN
26,VGLUT3KO,14000,NaN
26,VGLUT3KO,14500,NaN
26,VGLUT3KO,15000,NaN
27,VGLUT3KOAlpha9KO,500,NaN
27,VGLUT3KOAlpha9KO,1000,NaN
27,VGLUT3KOAlpha9KO,1500,NaN
27,VGLUT3KOAlpha9KO,2000,NaN
27,VGLUT3KOAlpha9KO,2500,NaN
27,VGLUT3KOAlpha9KO,3000,NaN
27,VGLUT3KOAlpha9KO,3500,NaN
27,VGLUT3KOAlpha9KO,4000,NaN
